"","block.number","block.type","trial.number","practice",".thisRepN",".thisTrialN",".thisN",".thisIndex","thisRow.t","notes","RT","clicked.reward","consecutive.distance","distance.to.top.10.","total","mean","Participant.Nummer","Leeftijd","Gender","schrijfhand","X","participant_number"
"1",1,"total",0,1,0,0,0,0,NA,NA,1.5740101999836,62,0.11,0.11,62,62,10,18,"vrouwelijk","rechts",NA,"10"
"2",1,"total",1,1,0,1,1,1,NA,NA,4.40747550001834,61,0.15556349186104,0.15556349186104,123,61,10,18,"vrouwelijk","rechts",NA,"10"
"3",1,"total",2,1,0,2,2,2,NA,NA,0.969861499965191,70,0.11,0,193,64,10,18,"vrouwelijk","rechts",NA,"10"
"4",1,"total",3,1,0,3,3,3,NA,NA,0.579390999977477,77,0.11,0,270,67,10,18,"vrouwelijk","rechts",NA,"10"
"5",1,"total",4,1,0,4,4,4,NA,NA,0.218234299914911,70,0.11,0.11,340,68,10,18,"vrouwelijk","rechts",NA,"10"
"6",1,"total",5,1,0,5,5,5,NA,NA,0.304304599994794,75,0.11,0.15556349186104,415,69,10,18,"vrouwelijk","rechts",NA,"10"
"7",1,"total",6,1,0,6,6,6,NA,NA,0.199218799942173,80,0.11,0,495,70,10,18,"vrouwelijk","rechts",NA,"10"
"8",1,"total",7,1,0,7,7,7,NA,NA,0.4329996999586,85,0.15556349186104,0,580,72,10,18,"vrouwelijk","rechts",NA,"10"
"9",1,"total",8,1,0,8,8,8,NA,NA,0.289873400004581,86,0.11,0,666,74,10,18,"vrouwelijk","rechts",NA,"10"
"10",1,"total",9,1,0,9,9,9,NA,NA,0.231717800023034,77,0.22,0.11,743,74,10,18,"vrouwelijk","rechts",NA,"10"
"11",1,"total",10,1,0,10,10,10,NA,NA,0.242277499986812,81,0.33,0.11,824,74,10,18,"vrouwelijk","rechts",NA,"10"
"12",1,"total",11,1,0,11,11,11,NA,NA,0.186546999961138,78,0.11,0.15556349186104,902,75,10,18,"vrouwelijk","rechts",NA,"10"
"13",1,"total",12,1,0,12,12,12,NA,NA,1.10474209999666,71,0.15556349186104,0.22,973,74,10,18,"vrouwelijk","rechts",NA,"10"
"14",1,"total",13,1,0,13,13,13,NA,NA,0.393835700000636,89,0.245967477524977,0,1062,75,10,18,"vrouwelijk","rechts",NA,"10"
"15",1,"total",14,1,0,14,14,14,NA,NA,0.745635699946433,90,0.11,0,1152,76,10,18,"vrouwelijk","rechts",NA,"10"
"16",1,"total",15,1,0,15,15,15,NA,NA,0.560659399954602,83,0.11,0.11,1235,77,10,18,"vrouwelijk","rechts",NA,"10"
"17",1,"total",16,1,0,16,16,16,NA,NA,1.30181229999289,90,0.15556349186104,0,1325,77,10,18,"vrouwelijk","rechts",NA,"10"
"18",1,"total",17,1,0,17,17,17,NA,NA,0.550970099982806,87,0.11,0.11,1412,78,10,18,"vrouwelijk","rechts",NA,"10"
"19",1,"total",18,1,0,18,18,18,NA,NA,0.858576100086793,78,0.11,0.22,1490,78,10,18,"vrouwelijk","rechts",NA,"10"
"20",1,"total",19,1,0,19,19,19,NA,NA,1.11107009998523,85,0.33,0.11,1575,78,10,18,"vrouwelijk","rechts",NA,"10"
"21",2,"mean",0,0,0,20,20,20,NA,NA,2.39890949998517,65,0.22,0.22,65,65,10,18,"vrouwelijk","rechts",NA,"10"
"22",2,"mean",1,0,0,21,21,21,NA,NA,1.35514280002099,68,0.11,0,133,66,10,18,"vrouwelijk","rechts",NA,"10"
"23",2,"mean",2,0,0,22,22,22,NA,NA,0.633694399963133,69,0.11,0,202,67,10,18,"vrouwelijk","rechts",NA,"10"
"24",2,"mean",3,0,0,23,23,23,NA,NA,0.590601300005801,68,0.11,0.11,270,67,10,18,"vrouwelijk","rechts",NA,"10"
"25",2,"mean",4,0,0,24,24,24,NA,NA,0.888607600005344,66,0.15556349186104,0.11,336,67,10,18,"vrouwelijk","rechts",NA,"10"
"26",2,"mean",5,0,0,25,25,25,NA,NA,0.859381999936886,68,0.33,0.22,404,67,10,18,"vrouwelijk","rechts",NA,"10"
"27",2,"mean",6,0,0,26,26,26,NA,NA,0.364392500021495,69,0.11,0.11,473,67,10,18,"vrouwelijk","rechts",NA,"10"
"28",2,"mean",7,0,0,27,27,27,NA,NA,0.979690799955279,70,0.15556349186104,0,543,67,10,18,"vrouwelijk","rechts",NA,"10"
"29",2,"mean",8,0,0,28,28,28,NA,NA,0.516269500018097,71,0.11,0,614,68,10,18,"vrouwelijk","rechts",NA,"10"
"30",2,"mean",9,0,0,29,29,29,NA,NA,0.654030699981377,75,0.15556349186104,0,689,68,10,18,"vrouwelijk","rechts",NA,"10"
